D_clean,D_fake,D_noisy
-343.57745361328125,-288.25885009765625,-1098.56298828125
-236.95602416992188,-249.0819549560547,-379.63720703125
-222.93814086914062,-277.38336181640625,-540.9695434570312
-255.9911651611328,-352.988525390625,-742.2175903320312
-139.65692138671875,-168.8579559326172,-716.8482055664062
-242.5175018310547,-176.54466247558594,-293.64642333984375
-403.4215393066406,-399.565673828125,-584.6551513671875
-487.353271484375,-464.6851501464844,-1003.6216430664062
-391.4068603515625,-381.58453369140625,-1553.2733154296875
-270.61181640625,-300.74896240234375,-364.38543701171875
-235.09068298339844,-264.77825927734375,-508.10693359375
-272.3088073730469,-261.4134521484375,-720.2146606445312
-443.0299377441406,-391.0438537597656,-1202.170654296875
-214.14907836914062,-206.4951629638672,-390.0030212402344
-153.02764892578125,-154.34263610839844,-368.79669189453125
-344.98480224609375,-481.2442932128906,-909.4829711914062
-351.1224365234375,-338.9986267089844,-1027.4893798828125
-238.080810546875,-318.9571228027344,-326.4293518066406
-317.47149658203125,-366.4093017578125,-501.4103698730469
-314.2929382324219,-324.78753662109375,-668.9015502929688
-403.5381164550781,-312.978271484375,-1078.6646728515625
-301.92010498046875,-305.84796142578125,-403.26312255859375
-448.5350036621094,-413.18878173828125,-590.61328125
-369.7991638183594,-358.0196228027344,-1034.38330078125
-226.07960510253906,-255.52816772460938,-1034.204345703125
-151.5076446533203,-166.0863800048828,-252.16119384765625
-283.17315673828125,-261.08544921875,-517.0296020507812
-343.1072692871094,-325.7108154296875,-863.2548828125
-322.6669921875,-340.28936767578125,-945.71875
-263.89111328125,-327.4449768066406,-307.79388427734375
-402.1656494140625,-424.72320556640625,-566.1661376953125
-247.1701202392578,-263.2125549316406,-617.2655639648438
-279.8152160644531,-296.33984375,-1260.2288818359375
-194.06764221191406,-191.35470581054688,-311.23443603515625
-406.7147216796875,-384.1614074707031,-642.9907836914062
-169.847900390625,-222.74098205566406,-502.3876647949219
-291.88836669921875,-313.8595886230469,-1204.31005859375
-283.286865234375,-279.1705322265625,-391.7154846191406
-304.44390869140625,-357.3388366699219,-528.1312866210938
-304.994384765625,-405.29302978515625,-717.5272827148438
-431.284423828125,-411.743408203125,-1603.447265625
-237.7129364013672,-233.4984588623047,-306.6993408203125
-311.3385925292969,-312.5173034667969,-899.3303833007812
-250.29067993164062,-259.60247802734375,-425.9320373535156
-217.50416564941406,-213.3771209716797,-315.9041748046875
-384.9168395996094,-372.00445556640625,-633.71337890625
-211.4189910888672,-304.8856201171875,-1221.61962890625
-324.7542419433594,-298.969482421875,-1216.288330078125
-424.72845458984375,-395.997802734375,-997.9384765625
-213.64059448242188,-205.06936645507812,-351.9606018066406
-436.2926330566406,-433.717041015625,-530.6006469726562
-261.45831298828125,-231.69859313964844,-506.28448486328125
-249.05422973632812,-252.94775390625,-1315.42724609375
-327.15325927734375,-354.22161865234375,-948.19775390625
-347.3045959472656,-244.9363250732422,-406.452880859375
-305.3862609863281,-295.85302734375,-405.9998779296875
-322.2083740234375,-271.2294006347656,-457.17108154296875
-226.1949920654297,-207.10459899902344,-814.2685546875
-203.4160614013672,-198.85977172851562,-233.98919677734375
-256.9967346191406,-326.7034912109375,-357.268310546875
-287.42474365234375,-422.38629150390625,-582.5401000976562
-298.2828369140625,-313.0788269042969,-980.361328125
-250.9263458251953,-234.6941375732422,-361.28106689453125
-225.058349609375,-229.7728729248047,-292.6834411621094
-248.67129516601562,-263.85595703125,-540.8285522460938
-313.00799560546875,-321.0616760253906,-975.3003540039062
-303.9601135253906,-248.3885040283203,-387.804443359375
-233.10546875,-215.14871215820312,-374.59613037109375
-160.1012725830078,-154.2827606201172,-439.18682861328125
-188.559814453125,-162.2119598388672,-665.4237060546875
-183.2073516845703,-185.79566955566406,-243.35366821289062
-180.4095001220703,-198.89076232910156,-287.18231201171875
-273.0252990722656,-221.8909454345703,-555.9026489257812
-186.87057495117188,-279.3884582519531,-628.9602661132812
-282.2071838378906,-292.54632568359375,-303.0077819824219
-328.983154296875,-318.0036315917969,-431.5262145996094
-292.85833740234375,-248.3469696044922,-612.4469604492188
-203.39527893066406,-181.44219970703125,-742.611083984375
-412.15130615234375,-377.3143310546875,-462.007568359375
-263.0764465332031,-243.4793243408203,-417.70245361328125
-167.3625030517578,-168.90757751464844,-438.3758544921875
-182.9453125,-226.63037109375,-645.4049682617188
-218.97637939453125,-189.82730102539062,-282.0330810546875
-186.95242309570312,-174.37889099121094,-263.4720764160156
