D_clean,D_fake,D_noisy
-304.15948486328125,-304.9124755859375,-329.228759765625
-298.72900390625,-301.26593017578125,-337.59173583984375
-301.1783142089844,-299.77349853515625,-305.06646728515625
-309.11419677734375,-310.392578125,-317.4326171875
-307.3076171875,-306.9219970703125,-325.2923583984375
-299.09075927734375,-299.74725341796875,-334.896728515625
-306.1184997558594,-308.6462097167969,-312.7568664550781
-306.733642578125,-314.8859558105469,-320.58990478515625
-308.6201171875,-310.1882629394531,-330.47314453125
-310.78265380859375,-316.019775390625,-347.76544189453125
-310.51446533203125,-309.9689636230469,-316.7957763671875
-295.91455078125,-297.2905578613281,-314.2567443847656
-303.49951171875,-303.524169921875,-324.74139404296875
-311.26043701171875,-316.2158203125,-346.44488525390625
-291.8223876953125,-290.9814758300781,-297.65545654296875
-307.864501953125,-306.63201904296875,-319.0074462890625
-304.1879577636719,-302.0960693359375,-306.09783935546875
-312.404052734375,-312.5346984863281,-343.9072570800781
-303.5172424316406,-302.70404052734375,-308.2242126464844
-304.0968322753906,-306.1660461425781,-315.03363037109375
-304.4864501953125,-306.4294738769531,-323.5172119140625
-309.9150695800781,-312.53668212890625,-333.1244812011719
-320.8980712890625,-316.49456787109375,-327.28057861328125
-314.37725830078125,-309.1102294921875,-320.9041748046875
-308.2325744628906,-307.5926513671875,-316.48431396484375
-283.55804443359375,-284.9622802734375,-326.3929138183594
-303.6014404296875,-305.32196044921875,-310.1683044433594
-314.1024169921875,-318.355712890625,-331.8646240234375
-313.99810791015625,-318.0614013671875,-337.11224365234375
-302.1472473144531,-309.4818115234375,-345.7757568359375
-307.477783203125,-307.2412414550781,-311.94964599609375
-314.0144348144531,-314.6141052246094,-323.8596496582031
-319.8100280761719,-322.5952453613281,-347.2611083984375
-306.5257873535156,-312.5654296875,-340.30255126953125
-308.4312744140625,-295.4107666015625,-315.3016662597656
-307.53594970703125,-307.01495361328125,-318.96429443359375
-308.549560546875,-307.87939453125,-325.65191650390625
-311.6043701171875,-311.1197509765625,-332.9198303222656
-302.14361572265625,-300.7061767578125,-311.10833740234375
-310.83685302734375,-302.83087158203125,-321.5787658691406
-315.4425048828125,-317.4200439453125,-331.0262145996094
-307.94146728515625,-305.9539794921875,-332.14398193359375
-312.26519775390625,-311.016357421875,-316.952392578125
-293.5623779296875,-293.310546875,-301.650146484375
-310.39703369140625,-309.81915283203125,-322.675048828125
-304.017333984375,-304.24285888671875,-320.3019714355469
-311.6066589355469,-306.935302734375,-314.50592041015625
-318.33624267578125,-313.5726013183594,-328.108642578125
-318.1382141113281,-316.6512451171875,-346.2041015625
-310.6016540527344,-316.1373291015625,-359.67242431640625
-310.0885009765625,-309.1875305175781,-315.84112548828125
-300.80279541015625,-301.13385009765625,-313.39178466796875
-302.7214050292969,-303.6057434082031,-321.9493713378906
-318.0882568359375,-315.1663818359375,-354.83001708984375
-293.770263671875,-292.891845703125,-300.41168212890625
-308.14715576171875,-307.38232421875,-317.0954284667969
-317.45440673828125,-313.8315124511719,-340.8890075683594
-312.0804443359375,-316.785400390625,-340.8906555175781
-311.12030029296875,-316.41357421875,-316.0237121582031
-314.0103759765625,-312.33026123046875,-327.30340576171875
-310.75665283203125,-313.35821533203125,-326.25946044921875
-318.45318603515625,-303.9627380371094,-343.464599609375
-306.3310241699219,-306.1083984375,-310.5735778808594
-313.1053771972656,-312.14105224609375,-321.4582214355469
-311.8565368652344,-310.4441223144531,-333.513916015625
-304.3909606933594,-303.498779296875,-320.1849060058594
-303.93133544921875,-304.94940185546875,-311.65509033203125
-296.543701171875,-296.99200439453125,-314.0064697265625
-309.02490234375,-315.6814270019531,-330.0473327636719
-312.2328186035156,-324.1859436035156,-368.93743896484375
-314.6490478515625,-313.2821044921875,-318.6534423828125
-309.93255615234375,-307.5685729980469,-324.31280517578125
-302.69085693359375,-305.4736633300781,-324.285400390625
-299.7221374511719,-305.44390869140625,-341.67462158203125
-310.30712890625,-308.2734069824219,-315.5576477050781
-311.4666748046875,-310.35400390625,-322.38427734375
-312.3224792480469,-310.848388671875,-326.650390625
-315.23614501953125,-318.8310546875,-355.40374755859375
-302.79217529296875,-302.46209716796875,-309.8083190917969
-319.12689208984375,-318.277099609375,-327.99615478515625
