"epoch","22/05 16:52:25 Finetune_12_speakers - _step","22/05 16:52:25 Finetune_12_speakers - _step__MIN","22/05 16:52:25 Finetune_12_speakers - _step__MAX","22/05 16:52:25 Finetune_12_speakers - SI-SNR","22/05 16:52:25 Finetune_12_speakers - SI-SNR__MIN","22/05 16:52:25 Finetune_12_speakers - SI-SNR__MAX","19/05 14:51:16 Finetune_5_speakers G - _step","19/05 14:51:16 Finetune_5_speakers G - _step__MIN","19/05 14:51:16 Finetune_5_speakers G - _step__MAX","19/05 14:51:16 Finetune_5_speakers G - SI-SNR","19/05 14:51:16 Finetune_5_speakers G - SI-SNR__MIN","19/05 14:51:16 Finetune_5_speakers G - SI-SNR__MAX","19/05 14:49:22 Finetune_3_speakers G - _step","19/05 14:49:22 Finetune_3_speakers G - _step__MIN","19/05 14:49:22 Finetune_3_speakers G - _step__MAX","19/05 14:49:22 Finetune_3_speakers G - SI-SNR","19/05 14:49:22 Finetune_3_speakers G - SI-SNR__MIN","19/05 14:49:22 Finetune_3_speakers G - SI-SNR__MAX","19/05 14:39:01 Finetune_1_speakers G - _step","19/05 14:39:01 Finetune_1_speakers G - _step__MIN","19/05 14:39:01 Finetune_1_speakers G - _step__MAX","19/05 14:39:01 Finetune_1_speakers G - SI-SNR","19/05 14:39:01 Finetune_1_speakers G - SI-SNR__MIN","19/05 14:39:01 Finetune_1_speakers G - SI-SNR__MAX"
"928","76","76","76","18.846328735351562","18.846328735351562","18.846328735351562","310","310","310","17.823579788208008","17.823579788208008","17.823579788208008","310","310","310","16.20611000061035","16.20611000061035","16.20611000061035","310","310","310","15.589322090148926","15.589322090148926","15.589322090148926"
"929","78","78","78","18.5504093170166","18.5504093170166","18.5504093170166","318","318","318","17.707408905029297","17.707408905029297","17.707408905029297","318","318","318","16.645156860351562","16.645156860351562","16.645156860351562","318","318","318","15.602469444274902","15.602469444274902","15.602469444274902"
"930","80","80","80","18.525367736816406","18.525367736816406","18.525367736816406","326","326","326","17.86119842529297","17.86119842529297","17.86119842529297","326","326","326","16.44463539123535","16.44463539123535","16.44463539123535","326","326","326","15.54063892364502","15.54063892364502","15.54063892364502"
"931","82","82","82","18.74433708190918","18.74433708190918","18.74433708190918","334","334","334","17.844999313354492","17.844999313354492","17.844999313354492","334","334","334","16.492095947265625","16.492095947265625","16.492095947265625","334","334","334","15.640656471252441","15.640656471252441","15.640656471252441"
"932","84","84","84","18.787179946899414","18.787179946899414","18.787179946899414","342","342","342","17.505855560302734","17.505855560302734","17.505855560302734","342","342","342","16.651357650756836","16.651357650756836","16.651357650756836","342","342","342","15.74194049835205","15.74194049835205","15.74194049835205"
"933","86","86","86","18.806983947753906","18.806983947753906","18.806983947753906","350","350","350","17.768102645874023","17.768102645874023","17.768102645874023","350","350","350","16.484460830688477","16.484460830688477","16.484460830688477","350","350","350","15.742280960083008","15.742280960083008","15.742280960083008"
"934","88","88","88","18.80852508544922","18.80852508544922","18.80852508544922","358","358","358","17.94545555114746","17.94545555114746","17.94545555114746","358","358","358","16.712587356567383","16.712587356567383","16.712587356567383","358","358","358","15.760863304138184","15.760863304138184","15.760863304138184"
"935","90","90","90","18.797412872314453","18.797412872314453","18.797412872314453","366","366","366","17.940649032592773","17.940649032592773","17.940649032592773","366","366","366","16.25408363342285","16.25408363342285","16.25408363342285","366","366","366","15.832185745239258","15.832185745239258","15.832185745239258"
"936","92","92","92","18.70467185974121","18.70467185974121","18.70467185974121","374","374","374","18.016067504882812","18.016067504882812","18.016067504882812","374","374","374","16.054365158081055","16.054365158081055","16.054365158081055","374","374","374","15.967243194580078","15.967243194580078","15.967243194580078"
"937","94","94","94","18.775693893432617","18.775693893432617","18.775693893432617","382","382","382","17.993436813354492","17.993436813354492","17.993436813354492","382","382","382","16.395465850830078","16.395465850830078","16.395465850830078","382","382","382","16.040185928344727","16.040185928344727","16.040185928344727"
"938","96","96","96","18.86748504638672","18.86748504638672","18.86748504638672","390","390","390","17.985179901123047","17.985179901123047","17.985179901123047","390","390","390","16.455997467041016","16.455997467041016","16.455997467041016","390","390","390","15.707472801208496","15.707472801208496","15.707472801208496"
"939","98","98","98","18.852373123168945","18.852373123168945","18.852373123168945","398","398","398","17.911819458007812","17.911819458007812","17.911819458007812","398","398","398","16.312549591064453","16.312549591064453","16.312549591064453","398","398","398","15.360994338989258","15.360994338989258","15.360994338989258"
"940","100","100","100","18.91138458251953","18.91138458251953","18.91138458251953","406","406","406","18.11458396911621","18.11458396911621","18.11458396911621","406","406","406","16.64475440979004","16.64475440979004","16.64475440979004","406","406","406","15.251923561096191","15.251923561096191","15.251923561096191"
"941","102","102","102","18.927927017211914","18.927927017211914","18.927927017211914","414","414","414","17.90533447265625","17.90533447265625","17.90533447265625","414","414","414","17.021787643432617","17.021787643432617","17.021787643432617","414","414","414","15.81428337097168","15.81428337097168","15.81428337097168"
"942","104","104","104","18.757553100585938","18.757553100585938","18.757553100585938","422","422","422","17.735864639282227","17.735864639282227","17.735864639282227","422","422","422","16.73882293701172","16.73882293701172","16.73882293701172","422","422","422","15.588020324707031","15.588020324707031","15.588020324707031"
"943","106","106","106","18.78860092163086","18.78860092163086","18.78860092163086","430","430","430","17.9966983795166","17.9966983795166","17.9966983795166","430","430","430","16.671249389648438","16.671249389648438","16.671249389648438","430","430","430","15.872947692871094","15.872947692871094","15.872947692871094"
"944","108","108","108","18.818984985351562","18.818984985351562","18.818984985351562","438","438","438","17.984418869018555","17.984418869018555","17.984418869018555","438","438","438","16.615787506103516","16.615787506103516","16.615787506103516","438","438","438","15.504661560058594","15.504661560058594","15.504661560058594"
"945","110","110","110","18.921873092651367","18.921873092651367","18.921873092651367","446","446","446","17.96108055114746","17.96108055114746","17.96108055114746","446","446","446","16.77219581604004","16.77219581604004","16.77219581604004","446","446","446","15.61236572265625","15.61236572265625","15.61236572265625"
"946","112","112","112","18.880468368530273","18.880468368530273","18.880468368530273","454","454","454","17.913352966308594","17.913352966308594","17.913352966308594","454","454","454","16.538772583007812","16.538772583007812","16.538772583007812","454","454","454","15.537405967712402","15.537405967712402","15.537405967712402"
"947","114","114","114","18.84766960144043","18.84766960144043","18.84766960144043","462","462","462","17.751766204833984","17.751766204833984","17.751766204833984","462","462","462","16.1415958404541","16.1415958404541","16.1415958404541","462","462","462","15.589111328125","15.589111328125","15.589111328125"
"948","116","116","116","18.900707244873047","18.900707244873047","18.900707244873047","470","470","470","17.69011878967285","17.69011878967285","17.69011878967285","470","470","470","16.51956558227539","16.51956558227539","16.51956558227539","470","470","470","15.338706016540527","15.338706016540527","15.338706016540527"
"949","118","118","118","18.897228240966797","18.897228240966797","18.897228240966797","478","478","478","17.46037483215332","17.46037483215332","17.46037483215332","478","478","478","15.950285911560059","15.950285911560059","15.950285911560059","478","478","478","15.509316444396973","15.509316444396973","15.509316444396973"
"950","120","120","120","18.831811904907227","18.831811904907227","18.831811904907227","486","486","486","17.910354614257812","17.910354614257812","17.910354614257812","486","486","486","16.234960556030273","16.234960556030273","16.234960556030273","486","486","486","15.023415565490723","15.023415565490723","15.023415565490723"
"951","122","122","122","18.899049758911133","18.899049758911133","18.899049758911133","494","494","494","17.742502212524414","17.742502212524414","17.742502212524414","494","494","494","16.592615127563477","16.592615127563477","16.592615127563477","494","494","494","15.078217506408691","15.078217506408691","15.078217506408691"
"952","124","124","124","18.850767135620117","18.850767135620117","18.850767135620117","502","502","502","17.458253860473633","17.458253860473633","17.458253860473633","502","502","502","16.22994613647461","16.22994613647461","16.22994613647461","502","502","502","15.39603328704834","15.39603328704834","15.39603328704834"
"953","126","126","126","18.738710403442383","18.738710403442383","18.738710403442383","510","510","510","17.909019470214844","17.909019470214844","17.909019470214844","510","510","510","16.262813568115234","16.262813568115234","16.262813568115234","510","510","510","15.269465446472168","15.269465446472168","15.269465446472168"
"954","128","128","128","18.650720596313477","18.650720596313477","18.650720596313477","518","518","518","17.737213134765625","17.737213134765625","17.737213134765625","518","518","518","16.481027603149414","16.481027603149414","16.481027603149414","518","518","518","15.366700172424316","15.366700172424316","15.366700172424316"
