SI-SNR,DNSMOS,MOS Squim,eSTOI,PESQ,PESQ Torch,STOI pred,PESQ pred,SI-SDR pred
Mean scores
0.0,0.0,3.6469974181168308,0.0,0.0,0.0,0.0,0.0,0.0
SE of the means
0.0,0.0,0.0072017856847729185,0.0,0.0,0.0,0.0,0.0,0.0
All Scores
0,0,2.837481737136841,0,0,0,0,0,0
0,0,3.4429802894592285,0,0,0,0,0,0
0,0,3.012392997741699,0,0,0,0,0,0
0,0,4.580362796783447,0,0,0,0,0,0
0,0,3.743283748626709,0,0,0,0,0,0
0,0,4.128721714019775,0,0,0,0,0,0
0,0,2.0078444480895996,0,0,0,0,0,0
0,0,4.190094470977783,0,0,0,0,0,0
0,0,4.45311975479126,0,0,0,0,0,0
0,0,4.486517429351807,0,0,0,0,0,0
0,0,3.8024344444274902,0,0,0,0,0,0
0,0,4.249725818634033,0,0,0,0,0,0
0,0,4.546477317810059,0,0,0,0,0,0
0,0,4.994227409362793,0,0,0,0,0,0
0,0,3.5737838745117188,0,0,0,0,0,0
0,0,3.2712461948394775,0,0,0,0,0,0
0,0,3.218210220336914,0,0,0,0,0,0
0,0,2.2957990169525146,0,0,0,0,0,0
0,0,2.9678564071655273,0,0,0,0,0,0
0,0,4.0946550369262695,0,0,0,0,0,0
0,0,3.840573787689209,0,0,0,0,0,0
0,0,2.7123565673828125,0,0,0,0,0,0
0,0,2.76006817817688,0,0,0,0,0,0
0,0,4.296777725219727,0,0,0,0,0,0
0,0,2.1940431594848633,0,0,0,0,0,0
0,0,2.8028271198272705,0,0,0,0,0,0
0,0,2.6925084590911865,0,0,0,0,0,0
0,0,2.217503547668457,0,0,0,0,0,0
0,0,4.138198375701904,0,0,0,0,0,0
0,0,4.0143609046936035,0,0,0,0,0,0
0,0,2.223576784133911,0,0,0,0,0,0
0,0,3.7725813388824463,0,0,0,0,0,0
0,0,3.7355871200561523,0,0,0,0,0,0
0,0,2.386111259460449,0,0,0,0,0,0
0,0,3.290684461593628,0,0,0,0,0,0
0,0,4.049124717712402,0,0,0,0,0,0
0,0,2.1369400024414062,0,0,0,0,0,0
0,0,3.0266342163085938,0,0,0,0,0,0
0,0,2.8896684646606445,0,0,0,0,0,0
0,0,2.8968217372894287,0,0,0,0,0,0
0,0,3.78102707862854,0,0,0,0,0,0
0,0,2.2483127117156982,0,0,0,0,0,0
0,0,3.1357510089874268,0,0,0,0,0,0
0,0,4.444125652313232,0,0,0,0,0,0
0,0,2.3475308418273926,0,0,0,0,0,0
0,0,3.0707993507385254,0,0,0,0,0,0
0,0,3.2624025344848633,0,0,0,0,0,0
0,0,4.036144256591797,0,0,0,0,0,0
0,0,3.9740967750549316,0,0,0,0,0,0
0,0,4.409929275512695,0,0,0,0,0,0
0,0,4.4517669677734375,0,0,0,0,0,0
0,0,4.179056167602539,0,0,0,0,0,0
0,0,4.025638103485107,0,0,0,0,0,0
0,0,4.203351974487305,0,0,0,0,0,0
0,0,4.167147636413574,0,0,0,0,0,0
0,0,2.8031225204467773,0,0,0,0,0,0
0,0,2.970118284225464,0,0,0,0,0,0
0,0,2.5010054111480713,0,0,0,0,0,0
0,0,2.797407865524292,0,0,0,0,0,0
0,0,4.518844127655029,0,0,0,0,0,0
0,0,3.8610830307006836,0,0,0,0,0,0
0,0,3.483539342880249,0,0,0,0,0,0
0,0,2.9112868309020996,0,0,0,0,0,0
0,0,3.571381092071533,0,0,0,0,0,0
0,0,3.192709445953369,0,0,0,0,0,0
0,0,2.5524070262908936,0,0,0,0,0,0
0,0,4.316922664642334,0,0,0,0,0,0
0,0,2.3659396171569824,0,0,0,0,0,0
0,0,2.172921895980835,0,0,0,0,0,0
0,0,4.525794506072998,0,0,0,0,0,0
0,0,3.540670871734619,0,0,0,0,0,0
