"epoch","16/05 17:25:53 Standard (weights)3 (continued899) - _step","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MAX","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_encoder.1.norm.bias_norm","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_encoder.1.norm.bias_norm__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_encoder.1.norm.bias_norm__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - _step","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_encoder.1.norm.bias_norm","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_encoder.1.norm.bias_norm__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_encoder.1.norm.bias_norm__MAX","29/04 10:06:37 Standard (weights)1 - _step","29/04 10:06:37 Standard (weights)1 - _step__MIN","29/04 10:06:37 Standard (weights)1 - _step__MAX","29/04 10:06:37 Standard (weights)1 - Generator_encoder.1.norm.bias_norm","29/04 10:06:37 Standard (weights)1 - Generator_encoder.1.norm.bias_norm__MIN","29/04 10:06:37 Standard (weights)1 - Generator_encoder.1.norm.bias_norm__MAX"
"174","","","","","","","","","","","","","3929","3929","3929","0.1582310050725937","0.1582310050725937","0.1582310050725937"
"175","","","","","","","","","","","","","3951","3951","3951","0.15821465849876404","0.15821465849876404","0.15821465849876404"
"176","","","","","","","","","","","","","3974","3974","3974","0.1592818796634674","0.1592818796634674","0.1592818796634674"
"177","","","","","","","","","","","","","3996","3996","3996","0.15811331570148468","0.15811331570148468","0.15811331570148468"
"178","","","","","","","","","","","","","4019","4019","4019","0.15838725864887238","0.15838725864887238","0.15838725864887238"
"179","","","","","","","","","","","","","4041","4041","4041","0.15761834383010864","0.15761834383010864","0.15761834383010864"
"180","","","","","","","","","","","","","4064","4064","4064","0.15771521627902985","0.15771521627902985","0.15771521627902985"
"181","","","","","","","","","","","","","4086","4086","4086","0.15891921520233154","0.15891921520233154","0.15891921520233154"
"182","","","","","","","","","","","","","4109","4109","4109","0.15821698307991028","0.15821698307991028","0.15821698307991028"
"183","","","","","","","","","","","","","4131","4131","4131","0.15775932371616364","0.15775932371616364","0.15775932371616364"
"184","","","","","","","","","","","","","4154","4154","4154","0.15865595638751984","0.15865595638751984","0.15865595638751984"
"185","","","","","","","","","","","","","4176","4176","4176","0.15985006093978882","0.15985006093978882","0.15985006093978882"
"186","","","","","","","","","","","","","4199","4199","4199","0.16000431776046753","0.16000431776046753","0.16000431776046753"
"187","","","","","","","","","","","","","4221","4221","4221","0.1598479002714157","0.1598479002714157","0.1598479002714157"
"188","","","","","","","","","","","","","4243","4243","4243","0.16106167435646057","0.16106167435646057","0.16106167435646057"
"189","","","","","","","","","","","","","4266","4266","4266","0.1612754762172699","0.1612754762172699","0.1612754762172699"
"190","","","","","","","","","","","","","4288","4288","4288","0.16473840177059174","0.16473840177059174","0.16473840177059174"
"191","","","","","","","","","","","","","4311","4311","4311","0.1640653908252716","0.1640653908252716","0.1640653908252716"
"192","","","","","","","","","","","","","4333","4333","4333","0.16445301473140717","0.16445301473140717","0.16445301473140717"
"193","","","","","","","","","","","","","4356","4356","4356","0.16346153616905212","0.16346153616905212","0.16346153616905212"
"194","","","","","","","","","","","","","4378","4378","4378","0.16413742303848267","0.16413742303848267","0.16413742303848267"
"195","","","","","","","","","","","","","4401","4401","4401","0.16233210265636444","0.16233210265636444","0.16233210265636444"
"196","","","","","","","","","","","","","4423","4423","4423","0.16299325227737427","0.16299325227737427","0.16299325227737427"
"197","","","","","","","","","","","","","4446","4446","4446","0.16297547519207","0.16297547519207","0.16297547519207"
"198","","","","","","","","","","","","","4468","4468","4468","0.16444776952266693","0.16444776952266693","0.16444776952266693"
"199","","","","","","","","","","","","","4491","4491","4491","0.16495735943317413","0.16495735943317413","0.16495735943317413"
"200","","","","","","","","","","","","","4513","4513","4513","0.16595354676246643","0.16595354676246643","0.16595354676246643"
"201","","","","","","","","","","","","","4535","4535","4535","0.16633275151252747","0.16633275151252747","0.16633275151252747"
"202","","","","","","","","","","","","","4558","4558","4558","0.1664598137140274","0.1664598137140274","0.1664598137140274"
"203","","","","","","","","","","","","","4580","4580","4580","0.1669670045375824","0.1669670045375824","0.1669670045375824"
