"epoch","16/05 17:25:53 Standard (weights)3 (continued899) - _step","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MAX","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_encoder.0.norm.weight_norm","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_encoder.0.norm.weight_norm__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_encoder.0.norm.weight_norm__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - _step","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_encoder.0.norm.weight_norm","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_encoder.0.norm.weight_norm__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_encoder.0.norm.weight_norm__MAX","29/04 10:06:37 Standard (weights)1 - _step","29/04 10:06:37 Standard (weights)1 - _step__MIN","29/04 10:06:37 Standard (weights)1 - _step__MAX","29/04 10:06:37 Standard (weights)1 - Generator_encoder.0.norm.weight_norm","29/04 10:06:37 Standard (weights)1 - Generator_encoder.0.norm.weight_norm__MIN","29/04 10:06:37 Standard (weights)1 - Generator_encoder.0.norm.weight_norm__MAX"
"84","","","","","","","","","","","","","1908","1908","1908","5.443451404571533","5.443451404571533","5.443451404571533"
"85","","","","","","","","","","","","","1930","1930","1930","5.442497253417969","5.442497253417969","5.442497253417969"
"86","","","","","","","","","","","","","1953","1953","1953","5.44167423248291","5.44167423248291","5.44167423248291"
"87","","","","","","","","","","","","","1975","1975","1975","5.440902233123779","5.440902233123779","5.440902233123779"
"88","","","","","","","","","","","","","1997","1997","1997","5.440229892730713","5.440229892730713","5.440229892730713"
"89","","","","","","","","","","","","","2020","2020","2020","5.439202785491943","5.439202785491943","5.439202785491943"
"90","","","","","","","","","","","","","2042","2042","2042","5.438403606414795","5.438403606414795","5.438403606414795"
"91","","","","","","","","","","","","","2065","2065","2065","5.437655448913574","5.437655448913574","5.437655448913574"
"92","","","","","","","","","","","","","2087","2087","2087","5.436824798583984","5.436824798583984","5.436824798583984"
"93","","","","","","","","","","","","","2110","2110","2110","5.435932636260986","5.435932636260986","5.435932636260986"
"94","","","","","","","","","","","","","2132","2132","2132","5.434649467468262","5.434649467468262","5.434649467468262"
"95","","","","","","","","","","","","","2155","2155","2155","5.433750629425049","5.433750629425049","5.433750629425049"
"96","","","","","","","","","","","","","2177","2177","2177","5.433009147644043","5.433009147644043","5.433009147644043"
