"epoch","16/05 17:25:53 Standard (weights)3 (continued899) - _step","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MAX","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_fc_layers1.bias_norm","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_fc_layers1.bias_norm__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_fc_layers1.bias_norm__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - _step","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_fc_layers1.bias_norm","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_fc_layers1.bias_norm__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_fc_layers1.bias_norm__MAX","29/04 10:06:37 Standard (weights)1 - _step","29/04 10:06:37 Standard (weights)1 - _step__MIN","29/04 10:06:37 Standard (weights)1 - _step__MAX","29/04 10:06:37 Standard (weights)1 - Discriminator_fc_layers1.bias_norm","29/04 10:06:37 Standard (weights)1 - Discriminator_fc_layers1.bias_norm__MIN","29/04 10:06:37 Standard (weights)1 - Discriminator_fc_layers1.bias_norm__MAX"
"116","","","","","","","","","","","","","2626","2626","2626","0.7671541571617126","0.7671541571617126","0.7671541571617126"
"117","","","","","","","","","","","","","2649","2649","2649","0.7671889662742615","0.7671889662742615","0.7671889662742615"
"118","","","","","","","","","","","","","2671","2671","2671","0.7719016075134277","0.7719016075134277","0.7719016075134277"
"119","","","","","","","","","","","","","2694","2694","2694","0.7776144742965698","0.7776144742965698","0.7776144742965698"
"120","","","","","","","","","","","","","2716","2716","2716","0.7780593633651733","0.7780593633651733","0.7780593633651733"
"121","","","","","","","","","","","","","2739","2739","2739","0.7782238125801086","0.7782238125801086","0.7782238125801086"
"122","","","","","","","","","","","","","2761","2761","2761","0.7806735634803772","0.7806735634803772","0.7806735634803772"
"123","","","","","","","","","","","","","2784","2784","2784","0.7827184200286865","0.7827184200286865","0.7827184200286865"
"124","","","","","","","","","","","","","2806","2806","2806","0.7833744287490845","0.7833744287490845","0.7833744287490845"
"125","","","","","","","","","","","","","2828","2828","2828","0.7832932472229004","0.7832932472229004","0.7832932472229004"
"126","","","","","","","","","","","","","2851","2851","2851","0.7846107482910156","0.7846107482910156","0.7846107482910156"
"127","","","","","","","","","","","","","2873","2873","2873","0.7844678163528442","0.7844678163528442","0.7844678163528442"
"128","","","","","","","","","","","","","2896","2896","2896","0.7869887948036194","0.7869887948036194","0.7869887948036194"
"129","","","","","","","","","","","","","2918","2918","2918","0.7909923195838928","0.7909923195838928","0.7909923195838928"
"130","","","","","","","","","","","","","2941","2941","2941","0.7911040186882019","0.7911040186882019","0.7911040186882019"
"131","","","","","","","","","","","","","2963","2963","2963","0.7926251888275146","0.7926251888275146","0.7926251888275146"
"132","","","","","","","","","","","","","2986","2986","2986","0.7941389679908752","0.7941389679908752","0.7941389679908752"
"133","","","","","","","","","","","","","3008","3008","3008","0.7992899417877197","0.7992899417877197","0.7992899417877197"
"134","","","","","","","","","","","","","3031","3031","3031","0.8008784055709839","0.8008784055709839","0.8008784055709839"
"135","","","","","","","","","","","","","3053","3053","3053","0.8011892437934875","0.8011892437934875","0.8011892437934875"
"136","","","","","","","","","","","","","3076","3076","3076","0.801566481590271","0.801566481590271","0.801566481590271"
"137","","","","","","","","","","","","","3098","3098","3098","0.8021740317344666","0.8021740317344666","0.8021740317344666"
"138","","","","","","","","","","","","","3120","3120","3120","0.8018950819969177","0.8018950819969177","0.8018950819969177"
"139","","","","","","","","","","","","","3143","3143","3143","0.8032583594322205","0.8032583594322205","0.8032583594322205"
"140","","","","","","","","","","","","","3165","3165","3165","0.8041139245033264","0.8041139245033264","0.8041139245033264"
"141","","","","","","","","","","","","","3188","3188","3188","0.8044042587280273","0.8044042587280273","0.8044042587280273"
"142","","","","","","","","","","","","","3210","3210","3210","0.8093162775039673","0.8093162775039673","0.8093162775039673"
"143","","","","","","","","","","","","","3233","3233","3233","0.8103488087654114","0.8103488087654114","0.8103488087654114"
"144","","","","","","","","","","","","","3255","3255","3255","0.8107348680496216","0.8107348680496216","0.8107348680496216"
"145","","","","","","","","","","","","","3278","3278","3278","0.8114469647407532","0.8114469647407532","0.8114469647407532"
"146","","","","","","","","","","","","","3300","3300","3300","0.8139650225639343","0.8139650225639343","0.8139650225639343"
"147","","","","","","","","","","","","","3323","3323","3323","0.8145653009414673","0.8145653009414673","0.8145653009414673"
