"epoch","16/05 17:25:53 Standard (weights)3 (continued899) - _step","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MAX","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_decoder.0.norm.weight_norm","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_decoder.0.norm.weight_norm__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_decoder.0.norm.weight_norm__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - _step","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_decoder.0.norm.weight_norm","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_decoder.0.norm.weight_norm__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_decoder.0.norm.weight_norm__MAX","29/04 10:06:37 Standard (weights)1 - _step","29/04 10:06:37 Standard (weights)1 - _step__MIN","29/04 10:06:37 Standard (weights)1 - _step__MAX","29/04 10:06:37 Standard (weights)1 - Generator_decoder.0.norm.weight_norm","29/04 10:06:37 Standard (weights)1 - Generator_decoder.0.norm.weight_norm__MIN","29/04 10:06:37 Standard (weights)1 - Generator_decoder.0.norm.weight_norm__MAX"
"130","","","","","","","","","","","","","2941","2941","2941","8.409564971923828","8.409564971923828","8.409564971923828"
"131","","","","","","","","","","","","","2963","2963","2963","8.411699295043945","8.411699295043945","8.411699295043945"
"132","","","","","","","","","","","","","2986","2986","2986","8.413333892822266","8.413333892822266","8.413333892822266"
"133","","","","","","","","","","","","","3008","3008","3008","8.418049812316895","8.418049812316895","8.418049812316895"
"134","","","","","","","","","","","","","3031","3031","3031","8.421852111816406","8.421852111816406","8.421852111816406"
"135","","","","","","","","","","","","","3053","3053","3053","8.427292823791504","8.427292823791504","8.427292823791504"
"136","","","","","","","","","","","","","3076","3076","3076","8.432563781738281","8.432563781738281","8.432563781738281"
"137","","","","","","","","","","","","","3098","3098","3098","8.438605308532715","8.438605308532715","8.438605308532715"
"138","","","","","","","","","","","","","3120","3120","3120","8.44017219543457","8.44017219543457","8.44017219543457"
"139","","","","","","","","","","","","","3143","3143","3143","8.443896293640137","8.443896293640137","8.443896293640137"
"140","","","","","","","","","","","","","3165","3165","3165","8.445151329040527","8.445151329040527","8.445151329040527"
"141","","","","","","","","","","","","","3188","3188","3188","8.446453094482422","8.446453094482422","8.446453094482422"
"142","","","","","","","","","","","","","3210","3210","3210","8.44979190826416","8.44979190826416","8.44979190826416"
"143","","","","","","","","","","","","","3233","3233","3233","8.4536771774292","8.4536771774292","8.4536771774292"
"144","","","","","","","","","","","","","3255","3255","3255","8.458295822143555","8.458295822143555","8.458295822143555"
"145","","","","","","","","","","","","","3278","3278","3278","8.461800575256348","8.461800575256348","8.461800575256348"
"146","","","","","","","","","","","","","3300","3300","3300","8.464152336120605","8.464152336120605","8.464152336120605"
"147","","","","","","","","","","","","","3323","3323","3323","8.466397285461426","8.466397285461426","8.466397285461426"
"148","","","","","","","","","","","","","3345","3345","3345","8.46820068359375","8.46820068359375","8.46820068359375"
"149","","","","","","","","","","","","","3368","3368","3368","8.469830513000488","8.469830513000488","8.469830513000488"
"150","","","","","","","","","","","","","3390","3390","3390","8.471548080444336","8.471548080444336","8.471548080444336"
"151","","","","","","","","","","","","","3412","3412","3412","8.475419044494629","8.475419044494629","8.475419044494629"
"152","","","","","","","","","","","","","3435","3435","3435","8.479957580566406","8.479957580566406","8.479957580566406"
"153","","","","","","","","","","","","","3457","3457","3457","8.480961799621582","8.480961799621582","8.480961799621582"
"154","","","","","","","","","","","","","3480","3480","3480","8.482901573181152","8.482901573181152","8.482901573181152"
"155","","","","","","","","","","","","","3502","3502","3502","8.486058235168457","8.486058235168457","8.486058235168457"
"156","","","","","","","","","","","","","3525","3525","3525","8.489190101623535","8.489190101623535","8.489190101623535"
"157","","","","","","","","","","","","","3547","3547","3547","8.492125511169434","8.492125511169434","8.492125511169434"
"158","","","","","","","","","","","","","3570","3570","3570","8.494088172912598","8.494088172912598","8.494088172912598"
"159","","","","","","","","","","","","","3592","3592","3592","8.498128890991211","8.498128890991211","8.498128890991211"
"160","","","","","","","","","","","","","3615","3615","3615","8.501428604125977","8.501428604125977","8.501428604125977"
"161","","","","","","","","","","","","","3637","3637","3637","8.505427360534668","8.505427360534668","8.505427360534668"
"162","","","","","","","","","","","","","3659","3659","3659","8.507284164428711","8.507284164428711","8.507284164428711"
"163","","","","","","","","","","","","","3682","3682","3682","8.510692596435547","8.510692596435547","8.510692596435547"
"164","","","","","","","","","","","","","3704","3704","3704","8.51350212097168","8.51350212097168","8.51350212097168"
"165","","","","","","","","","","","","","3727","3727","3727","8.516942977905273","8.516942977905273","8.516942977905273"
"166","","","","","","","","","","","","","3749","3749","3749","8.52013111114502","8.52013111114502","8.52013111114502"
"167","","","","","","","","","","","","","3772","3772","3772","8.522894859313965","8.522894859313965","8.522894859313965"
"168","","","","","","","","","","","","","3794","3794","3794","8.526673316955566","8.526673316955566","8.526673316955566"
"169","","","","","","","","","","","","","3817","3817","3817","8.531560897827148","8.531560897827148","8.531560897827148"
"170","","","","","","","","","","","","","3839","3839","3839","8.532607078552246","8.532607078552246","8.532607078552246"
"171","","","","","","","","","","","","","3862","3862","3862","8.533831596374512","8.533831596374512","8.533831596374512"
"172","","","","","","","","","","","","","3884","3884","3884","8.538061141967773","8.538061141967773","8.538061141967773"
"173","","","","","","","","","","","","","3907","3907","3907","8.540291786193848","8.540291786193848","8.540291786193848"
"174","","","","","","","","","","","","","3929","3929","3929","8.543536186218262","8.543536186218262","8.543536186218262"
"175","","","","","","","","","","","","","3951","3951","3951","8.546631813049316","8.546631813049316","8.546631813049316"
"176","","","","","","","","","","","","","3974","3974","3974","8.548547744750977","8.548547744750977","8.548547744750977"
"177","","","","","","","","","","","","","3996","3996","3996","8.551847457885742","8.551847457885742","8.551847457885742"
"178","","","","","","","","","","","","","4019","4019","4019","8.556646347045898","8.556646347045898","8.556646347045898"
"179","","","","","","","","","","","","","4041","4041","4041","8.558866500854492","8.558866500854492","8.558866500854492"
"180","","","","","","","","","","","","","4064","4064","4064","8.560976028442383","8.560976028442383","8.560976028442383"
"181","","","","","","","","","","","","","4086","4086","4086","8.564057350158691","8.564057350158691","8.564057350158691"
"182","","","","","","","","","","","","","4109","4109","4109","8.56583309173584","8.56583309173584","8.56583309173584"
"183","","","","","","","","","","","","","4131","4131","4131","8.566429138183594","8.566429138183594","8.566429138183594"
"184","","","","","","","","","","","","","4154","4154","4154","8.56912899017334","8.56912899017334","8.56912899017334"
"185","","","","","","","","","","","","","4176","4176","4176","8.572025299072266","8.572025299072266","8.572025299072266"
"186","","","","","","","","","","","","","4199","4199","4199","8.574990272521973","8.574990272521973","8.574990272521973"
"187","","","","","","","","","","","","","4221","4221","4221","8.579428672790527","8.579428672790527","8.579428672790527"
"188","","","","","","","","","","","","","4243","4243","4243","8.582437515258789","8.582437515258789","8.582437515258789"
