"epoch","16/05 17:25:53 Standard (weights)3 (continued899) - _step","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MAX","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_conv_layers.5.conv.weight_orig_norm","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_conv_layers.5.conv.weight_orig_norm__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_conv_layers.5.conv.weight_orig_norm__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - _step","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_conv_layers.5.conv.weight_orig_norm","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_conv_layers.5.conv.weight_orig_norm__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_conv_layers.5.conv.weight_orig_norm__MAX","29/04 10:06:37 Standard (weights)1 - _step","29/04 10:06:37 Standard (weights)1 - _step__MIN","29/04 10:06:37 Standard (weights)1 - _step__MAX","29/04 10:06:37 Standard (weights)1 - Discriminator_conv_layers.5.conv.weight_orig_norm","29/04 10:06:37 Standard (weights)1 - Discriminator_conv_layers.5.conv.weight_orig_norm__MIN","29/04 10:06:37 Standard (weights)1 - Discriminator_conv_layers.5.conv.weight_orig_norm__MAX"
"108","","","","","","","","","","","","","2447","2447","2447","16.88780403137207","16.88780403137207","16.88780403137207"
"109","","","","","","","","","","","","","2469","2469","2469","16.93454933166504","16.93454933166504","16.93454933166504"
"110","","","","","","","","","","","","","2492","2492","2492","16.993207931518555","16.993207931518555","16.993207931518555"
"111","","","","","","","","","","","","","2514","2514","2514","17.095703125","17.095703125","17.095703125"
"112","","","","","","","","","","","","","2536","2536","2536","17.100069046020508","17.100069046020508","17.100069046020508"
"113","","","","","","","","","","","","","2559","2559","2559","17.116485595703125","17.116485595703125","17.116485595703125"
"114","","","","","","","","","","","","","2581","2581","2581","17.163494110107422","17.163494110107422","17.163494110107422"
"115","","","","","","","","","","","","","2604","2604","2604","17.209613800048828","17.209613800048828","17.209613800048828"
"116","","","","","","","","","","","","","2626","2626","2626","17.335376739501953","17.335376739501953","17.335376739501953"
"117","","","","","","","","","","","","","2649","2649","2649","17.33514404296875","17.33514404296875","17.33514404296875"
"118","","","","","","","","","","","","","2671","2671","2671","17.428882598876953","17.428882598876953","17.428882598876953"
"119","","","","","","","","","","","","","2694","2694","2694","17.539609909057617","17.539609909057617","17.539609909057617"
"120","","","","","","","","","","","","","2716","2716","2716","17.544586181640625","17.544586181640625","17.544586181640625"
"121","","","","","","","","","","","","","2739","2739","2739","17.59267234802246","17.59267234802246","17.59267234802246"
"122","","","","","","","","","","","","","2761","2761","2761","17.615331649780273","17.615331649780273","17.615331649780273"
"123","","","","","","","","","","","","","2784","2784","2784","17.651485443115234","17.651485443115234","17.651485443115234"
"124","","","","","","","","","","","","","2806","2806","2806","17.631864547729492","17.631864547729492","17.631864547729492"
"125","","","","","","","","","","","","","2828","2828","2828","17.714981079101562","17.714981079101562","17.714981079101562"
"126","","","","","","","","","","","","","2851","2851","2851","17.77283477783203","17.77283477783203","17.77283477783203"
"127","","","","","","","","","","","","","2873","2873","2873","17.800003051757812","17.800003051757812","17.800003051757812"
"128","","","","","","","","","","","","","2896","2896","2896","17.811477661132812","17.811477661132812","17.811477661132812"
"129","","","","","","","","","","","","","2918","2918","2918","17.879070281982422","17.879070281982422","17.879070281982422"
"130","","","","","","","","","","","","","2941","2941","2941","17.91413688659668","17.91413688659668","17.91413688659668"
"131","","","","","","","","","","","","","2963","2963","2963","17.92408561706543","17.92408561706543","17.92408561706543"
"132","","","","","","","","","","","","","2986","2986","2986","17.975744247436523","17.975744247436523","17.975744247436523"
"133","","","","","","","","","","","","","3008","3008","3008","18.088285446166992","18.088285446166992","18.088285446166992"
"134","","","","","","","","","","","","","3031","3031","3031","18.135595321655273","18.135595321655273","18.135595321655273"
"135","","","","","","","","","","","","","3053","3053","3053","18.21829605102539","18.21829605102539","18.21829605102539"
"136","","","","","","","","","","","","","3076","3076","3076","18.22523307800293","18.22523307800293","18.22523307800293"
"137","","","","","","","","","","","","","3098","3098","3098","18.229400634765625","18.229400634765625","18.229400634765625"
"138","","","","","","","","","","","","","3120","3120","3120","18.265256881713867","18.265256881713867","18.265256881713867"
"139","","","","","","","","","","","","","3143","3143","3143","18.35983657836914","18.35983657836914","18.35983657836914"
"140","","","","","","","","","","","","","3165","3165","3165","18.38827896118164","18.38827896118164","18.38827896118164"
"141","","","","","","","","","","","","","3188","3188","3188","18.41727638244629","18.41727638244629","18.41727638244629"
"142","","","","","","","","","","","","","3210","3210","3210","18.463274002075195","18.463274002075195","18.463274002075195"
"143","","","","","","","","","","","","","3233","3233","3233","18.521203994750977","18.521203994750977","18.521203994750977"
"144","","","","","","","","","","","","","3255","3255","3255","18.533832550048828","18.533832550048828","18.533832550048828"
"145","","","","","","","","","","","","","3278","3278","3278","18.617477416992188","18.617477416992188","18.617477416992188"
"146","","","","","","","","","","","","","3300","3300","3300","18.650928497314453","18.650928497314453","18.650928497314453"
"147","","","","","","","","","","","","","3323","3323","3323","18.6846981048584","18.6846981048584","18.6846981048584"
"148","","","","","","","","","","","","","3345","3345","3345","18.708820343017578","18.708820343017578","18.708820343017578"
"149","","","","","","","","","","","","","3368","3368","3368","18.716556549072266","18.716556549072266","18.716556549072266"
"150","","","","","","","","","","","","","3390","3390","3390","18.796606063842773","18.796606063842773","18.796606063842773"
"151","","","","","","","","","","","","","3412","3412","3412","18.887292861938477","18.887292861938477","18.887292861938477"
"152","","","","","","","","","","","","","3435","3435","3435","18.908662796020508","18.908662796020508","18.908662796020508"
"153","","","","","","","","","","","","","3457","3457","3457","18.968219757080078","18.968219757080078","18.968219757080078"
"154","","","","","","","","","","","","","3480","3480","3480","18.984426498413086","18.984426498413086","18.984426498413086"
"155","","","","","","","","","","","","","3502","3502","3502","19.063495635986328","19.063495635986328","19.063495635986328"
"156","","","","","","","","","","","","","3525","3525","3525","19.146848678588867","19.146848678588867","19.146848678588867"
"157","","","","","","","","","","","","","3547","3547","3547","19.19789695739746","19.19789695739746","19.19789695739746"
"158","","","","","","","","","","","","","3570","3570","3570","19.239395141601562","19.239395141601562","19.239395141601562"
"159","","","","","","","","","","","","","3592","3592","3592","19.290868759155273","19.290868759155273","19.290868759155273"
"160","","","","","","","","","","","","","3615","3615","3615","19.334667205810547","19.334667205810547","19.334667205810547"
"161","","","","","","","","","","","","","3637","3637","3637","19.38414192199707","19.38414192199707","19.38414192199707"
"162","","","","","","","","","","","","","3659","3659","3659","19.41677474975586","19.41677474975586","19.41677474975586"
"163","","","","","","","","","","","","","3682","3682","3682","19.455352783203125","19.455352783203125","19.455352783203125"
"164","","","","","","","","","","","","","3704","3704","3704","19.53144645690918","19.53144645690918","19.53144645690918"
"165","","","","","","","","","","","","","3727","3727","3727","19.568763732910156","19.568763732910156","19.568763732910156"
"166","","","","","","","","","","","","","3749","3749","3749","19.610694885253906","19.610694885253906","19.610694885253906"
