"epoch","16/05 17:25:53 Standard (weights)3 (continued899) - _step","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MAX","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_fc_layers2.weight_orig_norm","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_fc_layers2.weight_orig_norm__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_fc_layers2.weight_orig_norm__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - _step","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_fc_layers2.weight_orig_norm","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_fc_layers2.weight_orig_norm__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_fc_layers2.weight_orig_norm__MAX","29/04 10:06:37 Standard (weights)1 - _step","29/04 10:06:37 Standard (weights)1 - _step__MIN","29/04 10:06:37 Standard (weights)1 - _step__MAX","29/04 10:06:37 Standard (weights)1 - Discriminator_fc_layers2.weight_orig_norm","29/04 10:06:37 Standard (weights)1 - Discriminator_fc_layers2.weight_orig_norm__MIN","29/04 10:06:37 Standard (weights)1 - Discriminator_fc_layers2.weight_orig_norm__MAX"
"197","","","","","","","","","","","","","4446","4446","4446","0.5783377289772034","0.5783377289772034","0.5783377289772034"
"198","","","","","","","","","","","","","4468","4468","4468","0.5725522637367249","0.5725522637367249","0.5725522637367249"
"199","","","","","","","","","","","","","4491","4491","4491","0.5782989263534546","0.5782989263534546","0.5782989263534546"
"200","","","","","","","","","","","","","4513","4513","4513","0.5765211582183838","0.5765211582183838","0.5765211582183838"
"201","","","","","","","","","","","","","4535","4535","4535","0.5786635279655457","0.5786635279655457","0.5786635279655457"
"202","","","","","","","","","","","","","4558","4558","4558","0.5806653499603271","0.5806653499603271","0.5806653499603271"
"203","","","","","","","","","","","","","4580","4580","4580","0.582300066947937","0.582300066947937","0.582300066947937"
"204","","","","","","","","","","","","","4603","4603","4603","0.582520067691803","0.582520067691803","0.582520067691803"
"205","","","","","","","","","","","","","4625","4625","4625","0.5805034637451172","0.5805034637451172","0.5805034637451172"
"206","","","","","","","","","","","","","4648","4648","4648","0.5810713171958923","0.5810713171958923","0.5810713171958923"
"207","","","","","","","","","","","","","4670","4670","4670","0.5833059549331665","0.5833059549331665","0.5833059549331665"
"208","","","","","","","","","","","","","4693","4693","4693","0.580357551574707","0.580357551574707","0.580357551574707"
"209","","","","","","","","","","","","","4715","4715","4715","0.5828050374984741","0.5828050374984741","0.5828050374984741"
"210","","","","","","","","","","","","","4738","4738","4738","0.5825679302215576","0.5825679302215576","0.5825679302215576"
"211","","","","","","","","","","","","","4760","4760","4760","0.579745352268219","0.579745352268219","0.579745352268219"
"212","","","","","","","","","","","","","4782","4782","4782","0.5783533453941345","0.5783533453941345","0.5783533453941345"
"213","","","","","","","","","","","","","4805","4805","4805","0.5807219743728638","0.5807219743728638","0.5807219743728638"
"214","","","","","","","","","","","","","4827","4827","4827","0.5831577777862549","0.5831577777862549","0.5831577777862549"
"215","","","","","","","","","","","","","4850","4850","4850","0.5803941488265991","0.5803941488265991","0.5803941488265991"
"216","","","","","","","","","","","","","4872","4872","4872","0.584759533405304","0.584759533405304","0.584759533405304"
"217","","","","","","","","","","","","","4895","4895","4895","0.5899483561515808","0.5899483561515808","0.5899483561515808"
"218","","","","","","","","","","","","","4917","4917","4917","0.5998862385749817","0.5998862385749817","0.5998862385749817"
