"epoch","02/05 09:08:20 - training only generator - _step","02/05 09:08:20 - training only generator - _step__MIN","02/05 09:08:20 - training only generator - _step__MAX","02/05 09:08:20 - training only generator - Fidelity Loss","02/05 09:08:20 - training only generator - Fidelity Loss__MIN","02/05 09:08:20 - training only generator - Fidelity Loss__MAX"
"313","1572","1572","1572","727041.625","727041.625","727041.625"
"314","1577","1577","1577","726922.375","726922.375","726922.375"
"315","1582","1582","1582","727128.1875","727128.1875","727128.1875"
"316","1587","1587","1587","726537.9375","726537.9375","726537.9375"
"317","1592","1592","1592","725852.5","725852.5","725852.5"
"318","1597","1597","1597","725996.875","725996.875","725996.875"
"319","1602","1602","1602","726302.4375","726302.4375","726302.4375"
"320","1607","1607","1607","726859.25","726859.25","726859.25"
"321","1612","1612","1612","727052.8125","727052.8125","727052.8125"
"322","1617","1617","1617","725516","725516","725516"
"323","1622","1622","1622","727660.0625","727660.0625","727660.0625"
"324","1627","1627","1627","726565.25","726565.25","726565.25"
"325","1632","1632","1632","726832.6875","726832.6875","726832.6875"
"326","1637","1637","1637","723925.75","723925.75","723925.75"
"327","1642","1642","1642","725407.5","725407.5","725407.5"
"328","1647","1647","1647","725297.25","725297.25","725297.25"
"329","1652","1652","1652","723892.6875","723892.6875","723892.6875"
"330","1657","1657","1657","726016.5","726016.5","726016.5"
"331","1662","1662","1662","725948.625","725948.625","725948.625"
"332","1667","1667","1667","723961.8125","723961.8125","723961.8125"
"333","1672","1672","1672","725368.75","725368.75","725368.75"
"334","1677","1677","1677","725343.75","725343.75","725343.75"
"335","1682","1682","1682","726580.625","726580.625","726580.625"
"336","1687","1687","1687","725096.6875","725096.6875","725096.6875"
"337","1692","1692","1692","724480.8125","724480.8125","724480.8125"
"338","1697","1697","1697","724722.125","724722.125","724722.125"
"339","1702","1702","1702","724412.6875","724412.6875","724412.6875"
"340","1707","1707","1707","724389.25","724389.25","724389.25"
"341","1712","1712","1712","724307.1875","724307.1875","724307.1875"
"342","1717","1717","1717","724437.9375","724437.9375","724437.9375"
"343","1722","1722","1722","724246.5","724246.5","724246.5"
"344","1727","1727","1727","723582.5","723582.5","723582.5"
"345","1732","1732","1732","722943.1875","722943.1875","722943.1875"
"346","1737","1737","1737","723423.125","723423.125","723423.125"
"347","1742","1742","1742","723896.5625","723896.5625","723896.5625"
"348","1747","1747","1747","724914.4375","724914.4375","724914.4375"
"349","1752","1752","1752","723952.9375","723952.9375","723952.9375"
"350","1757","1757","1757","723485.375","723485.375","723485.375"
"351","1762","1762","1762","722960.8125","722960.8125","722960.8125"
"352","1767","1767","1767","723127.1875","723127.1875","723127.1875"
"353","1772","1772","1772","723953.9375","723953.9375","723953.9375"
"354","1777","1777","1777","723582.75","723582.75","723582.75"
"355","1782","1782","1782","724307.1875","724307.1875","724307.1875"
"356","1787","1787","1787","722952.5","722952.5","722952.5"
"357","1792","1792","1792","722820.1875","722820.1875","722820.1875"
"358","1797","1797","1797","723176.375","723176.375","723176.375"
"359","1802","1802","1802","722345.0625","722345.0625","722345.0625"
"360","1807","1807","1807","723607.8125","723607.8125","723607.8125"
"361","1812","1812","1812","722827.625","722827.625","722827.625"
"362","1817","1817","1817","723183.3125","723183.3125","723183.3125"
"363","1822","1822","1822","722793.375","722793.375","722793.375"
"364","1827","1827","1827","722809.625","722809.625","722809.625"
"365","1832","1832","1832","722900.5","722900.5","722900.5"
"366","1837","1837","1837","722357.75","722357.75","722357.75"
"367","1842","1842","1842","722094.3125","722094.3125","722094.3125"
"368","1847","1847","1847","721731.25","721731.25","721731.25"
"369","1852","1852","1852","721729.125","721729.125","721729.125"
"370","1857","1857","1857","721526.1875","721526.1875","721526.1875"
"371","1862","1862","1862","721190.1875","721190.1875","721190.1875"
"372","1867","1867","1867","722420.375","722420.375","722420.375"
"373","1872","1872","1872","722663.5","722663.5","722663.5"
"374","1877","1877","1877","721996.9375","721996.9375","721996.9375"
"375","1882","1882","1882","721714.0625","721714.0625","721714.0625"
"376","1887","1887","1887","721210","721210","721210"
"377","1892","1892","1892","722156.1875","722156.1875","722156.1875"
"378","1897","1897","1897","721084.4375","721084.4375","721084.4375"
"379","1902","1902","1902","721469.8125","721469.8125","721469.8125"
"380","1907","1907","1907","721130.3125","721130.3125","721130.3125"
"381","1912","1912","1912","720546.25","720546.25","720546.25"
"382","1917","1917","1917","721630.5","721630.5","721630.5"
"383","1922","1922","1922","721597.375","721597.375","721597.375"
"384","1927","1927","1927","721449.9375","721449.9375","721449.9375"
"385","1932","1932","1932","721108.5625","721108.5625","721108.5625"
"386","1937","1937","1937","720570.4375","720570.4375","720570.4375"
"387","1942","1942","1942","721484.6875","721484.6875","721484.6875"
"388","1947","1947","1947","720499.125","720499.125","720499.125"
"389","1952","1952","1952","721122.4375","721122.4375","721122.4375"
"390","1957","1957","1957","720197.1875","720197.1875","720197.1875"
"391","1962","1962","1962","720144.25","720144.25","720144.25"
"392","1967","1967","1967","720070.0625","720070.0625","720070.0625"
"393","1972","1972","1972","720392.625","720392.625","720392.625"
"394","1977","1977","1977","719128.1875","719128.1875","719128.1875"
"395","1982","1982","1982","720779.625","720779.625","720779.625"
"396","1987","1987","1987","719252.875","719252.875","719252.875"
"397","1992","1992","1992","719837.1875","719837.1875","719837.1875"
"398","1997","1997","1997","719289.4375","719289.4375","719289.4375"
"399","2002","2002","2002","720864.5625","720864.5625","720864.5625"
"400","2007","2007","2007","719900.6875","719900.6875","719900.6875"
"401","2012","2012","2012","720457.9375","720457.9375","720457.9375"
"402","2017","2017","2017","720140.9375","720140.9375","720140.9375"
"403","2022","2022","2022","719509.25","719509.25","719509.25"
"404","2027","2027","2027","721622.25","721622.25","721622.25"
"405","2032","2032","2032","720485.75","720485.75","720485.75"
"406","2037","2037","2037","720195.625","720195.625","720195.625"
"407","2042","2042","2042","719161.375","719161.375","719161.375"
"408","2047","2047","2047","719022.75","719022.75","719022.75"
"409","2052","2052","2052","720307.4375","720307.4375","720307.4375"
"410","2057","2057","2057","719176.25","719176.25","719176.25"
"411","2062","2062","2062","719621.5625","719621.5625","719621.5625"
"412","2067","2067","2067","718816.5","718816.5","718816.5"
"413","2072","2072","2072","719017.1875","719017.1875","719017.1875"
