"epoch","18/04 13:01:40 - training only discriminator - _step","18/04 13:01:40 - training only discriminator - _step__MIN","18/04 13:01:40 - training only discriminator - _step__MAX","18/04 13:01:40 - training only discriminator - D_Fake","18/04 13:01:40 - training only discriminator - D_Fake__MIN","18/04 13:01:40 - training only discriminator - D_Fake__MAX"
"167","335","335","335","-611.4615478515625","-611.4615478515625","-611.4615478515625"
"168","337","337","337","-610.2276611328125","-610.2276611328125","-610.2276611328125"
"169","339","339","339","-610.4642944335938","-610.4642944335938","-610.4642944335938"
"170","341","341","341","-611.5147705078125","-611.5147705078125","-611.5147705078125"
"171","343","343","343","-609.353759765625","-609.353759765625","-609.353759765625"
"172","345","345","345","-610.9322509765625","-610.9322509765625","-610.9322509765625"
"173","347","347","347","-611.9856567382812","-611.9856567382812","-611.9856567382812"
"174","349","349","349","-612.1151733398438","-612.1151733398438","-612.1151733398438"
"175","351","351","351","-612.1957397460938","-612.1957397460938","-612.1957397460938"
"176","353","353","353","-612.6416015625","-612.6416015625","-612.6416015625"
"177","355","355","355","-612.2747802734375","-612.2747802734375","-612.2747802734375"
"178","357","357","357","-611.9526977539062","-611.9526977539062","-611.9526977539062"
"179","359","359","359","-611.4006958007812","-611.4006958007812","-611.4006958007812"
"180","361","361","361","-614.5175170898438","-614.5175170898438","-614.5175170898438"
"181","363","363","363","-612.8743286132812","-612.8743286132812","-612.8743286132812"
"182","365","365","365","-613.0090942382812","-613.0090942382812","-613.0090942382812"
"183","367","367","367","-613.7059326171875","-613.7059326171875","-613.7059326171875"
"184","369","369","369","-613.5621948242188","-613.5621948242188","-613.5621948242188"
"185","371","371","371","-612.4320678710938","-612.4320678710938","-612.4320678710938"
"186","373","373","373","-613.4342651367188","-613.4342651367188","-613.4342651367188"
"187","375","375","375","-612.6873168945312","-612.6873168945312","-612.6873168945312"
"188","377","377","377","-613.4200439453125","-613.4200439453125","-613.4200439453125"
"189","379","379","379","-613.176025390625","-613.176025390625","-613.176025390625"
"190","381","381","381","-614.1353149414062","-614.1353149414062","-614.1353149414062"
"191","383","383","383","-613.2525634765625","-613.2525634765625","-613.2525634765625"
"192","385","385","385","-612.9306030273438","-612.9306030273438","-612.9306030273438"
"193","387","387","387","-614.0343017578125","-614.0343017578125","-614.0343017578125"
"194","389","389","389","-611.2154541015625","-611.2154541015625","-611.2154541015625"
"195","391","391","391","-613.3151245117188","-613.3151245117188","-613.3151245117188"
"196","393","393","393","-613.321044921875","-613.321044921875","-613.321044921875"
"197","395","395","395","-613.2278442382812","-613.2278442382812","-613.2278442382812"
"198","397","397","397","-613.540283203125","-613.540283203125","-613.540283203125"
"199","399","399","399","-614.205810546875","-614.205810546875","-614.205810546875"
"200","401","401","401","-614.1135864257812","-614.1135864257812","-614.1135864257812"
"201","403","403","403","-614.837890625","-614.837890625","-614.837890625"
"202","405","405","405","-612.3677368164062","-612.3677368164062","-612.3677368164062"
"203","407","407","407","-613.8780517578125","-613.8780517578125","-613.8780517578125"
"204","409","409","409","-613.9243774414062","-613.9243774414062","-613.9243774414062"
"205","411","411","411","-613.2410278320312","-613.2410278320312","-613.2410278320312"
"206","413","413","413","-613.77197265625","-613.77197265625","-613.77197265625"
"207","415","415","415","-613.8857421875","-613.8857421875","-613.8857421875"
"208","417","417","417","-615.5109252929688","-615.5109252929688","-615.5109252929688"
"209","419","419","419","-614.5050048828125","-614.5050048828125","-614.5050048828125"
"210","421","421","421","-615.804443359375","-615.804443359375","-615.804443359375"
"211","423","423","423","-615.6100463867188","-615.6100463867188","-615.6100463867188"
"212","425","425","425","-615.6873168945312","-615.6873168945312","-615.6873168945312"
"213","427","427","427","-614.2320556640625","-614.2320556640625","-614.2320556640625"
"214","429","429","429","-615.2099609375","-615.2099609375","-615.2099609375"
"215","431","431","431","-615.0188598632812","-615.0188598632812","-615.0188598632812"
"216","433","433","433","-617.4369506835938","-617.4369506835938","-617.4369506835938"
"217","435","435","435","-614.833251953125","-614.833251953125","-614.833251953125"
"218","437","437","437","-615.872314453125","-615.872314453125","-615.872314453125"
"219","439","439","439","-615.6688842773438","-615.6688842773438","-615.6688842773438"
"220","441","441","441","-616.2120361328125","-616.2120361328125","-616.2120361328125"
"221","443","443","443","-613.4332885742188","-613.4332885742188","-613.4332885742188"
"222","445","445","445","-616.12548828125","-616.12548828125","-616.12548828125"
"223","447","447","447","-614.7468872070312","-614.7468872070312","-614.7468872070312"
"224","449","449","449","-615.5431518554688","-615.5431518554688","-615.5431518554688"
"225","451","451","451","-615.5469970703125","-615.5469970703125","-615.5469970703125"
"226","453","453","453","-616.571044921875","-616.571044921875","-616.571044921875"
"227","455","455","455","-616.2648315429688","-616.2648315429688","-616.2648315429688"
"228","457","457","457","-614.534423828125","-614.534423828125","-614.534423828125"
"229","459","459","459","-616.0686645507812","-616.0686645507812","-616.0686645507812"
"230","461","461","461","-615.6776123046875","-615.6776123046875","-615.6776123046875"
"231","463","463","463","-616.8697509765625","-616.8697509765625","-616.8697509765625"
"232","465","465","465","-615.0526733398438","-615.0526733398438","-615.0526733398438"
"233","467","467","467","-617.5300903320312","-617.5300903320312","-617.5300903320312"
"234","469","469","469","-615.5194702148438","-615.5194702148438","-615.5194702148438"
"235","471","471","471","-617.3698120117188","-617.3698120117188","-617.3698120117188"
"236","473","473","473","-617.884033203125","-617.884033203125","-617.884033203125"
"237","475","475","475","-615.323974609375","-615.323974609375","-615.323974609375"
"238","477","477","477","-617.8054809570312","-617.8054809570312","-617.8054809570312"
"239","479","479","479","-615.7391357421875","-615.7391357421875","-615.7391357421875"
