"epoch","18/04 13:01:40 - training only discriminator - _step","18/04 13:01:40 - training only discriminator - _step__MIN","18/04 13:01:40 - training only discriminator - _step__MAX","18/04 13:01:40 - training only discriminator - D_Real","18/04 13:01:40 - training only discriminator - D_Real__MIN","18/04 13:01:40 - training only discriminator - D_Real__MAX"
"229","459","459","459","-286.06610107421875","-286.06610107421875","-286.06610107421875"
"230","461","461","461","-285.5767822265625","-285.5767822265625","-285.5767822265625"
"231","463","463","463","-286.1161804199219","-286.1161804199219","-286.1161804199219"
"232","465","465","465","-284.8560791015625","-284.8560791015625","-284.8560791015625"
"233","467","467","467","-286.4908447265625","-286.4908447265625","-286.4908447265625"
"234","469","469","469","-285.02093505859375","-285.02093505859375","-285.02093505859375"
"235","471","471","471","-286.5740661621094","-286.5740661621094","-286.5740661621094"
"236","473","473","473","-286.7513732910156","-286.7513732910156","-286.7513732910156"
"237","475","475","475","-285.0889892578125","-285.0889892578125","-285.0889892578125"
"238","477","477","477","-286.701904296875","-286.701904296875","-286.701904296875"
"239","479","479","479","-285.5677795410156","-285.5677795410156","-285.5677795410156"
"240","481","481","481","-286.6386413574219","-286.6386413574219","-286.6386413574219"
"241","483","483","483","-286.0783386230469","-286.0783386230469","-286.0783386230469"
"242","485","485","485","-285.3214111328125","-285.3214111328125","-285.3214111328125"
"243","487","487","487","-286.92938232421875","-286.92938232421875","-286.92938232421875"
"244","489","489","489","-285.8943786621094","-285.8943786621094","-285.8943786621094"
"245","491","491","491","-286.9619140625","-286.9619140625","-286.9619140625"
"246","493","493","493","-285.4173278808594","-285.4173278808594","-285.4173278808594"
"247","495","495","495","-285.5160217285156","-285.5160217285156","-285.5160217285156"
"248","497","497","497","-286.7099304199219","-286.7099304199219","-286.7099304199219"
"249","499","499","499","-285.9551086425781","-285.9551086425781","-285.9551086425781"
"250","501","501","501","-286.3927917480469","-286.3927917480469","-286.3927917480469"
"251","503","503","503","-286.57891845703125","-286.57891845703125","-286.57891845703125"
"252","505","505","505","-285.8619384765625","-285.8619384765625","-285.8619384765625"
"253","507","507","507","-286.4255676269531","-286.4255676269531","-286.4255676269531"
"254","509","509","509","-285.1557312011719","-285.1557312011719","-285.1557312011719"
"255","511","511","511","-286.282470703125","-286.282470703125","-286.282470703125"
"256","513","513","513","-286.2085876464844","-286.2085876464844","-286.2085876464844"
"257","515","515","515","-285.957763671875","-285.957763671875","-285.957763671875"
"258","517","517","517","-285.933837890625","-285.933837890625","-285.933837890625"
"259","519","519","519","-286.4521484375","-286.4521484375","-286.4521484375"
"260","521","521","521","-286.1541442871094","-286.1541442871094","-286.1541442871094"
"261","523","523","523","-286.3830261230469","-286.3830261230469","-286.3830261230469"
"262","525","525","525","-286.4943542480469","-286.4943542480469","-286.4943542480469"
"263","527","527","527","-286.33148193359375","-286.33148193359375","-286.33148193359375"
"264","529","529","529","-285.02886962890625","-285.02886962890625","-285.02886962890625"
"265","531","531","531","-287.2729187011719","-287.2729187011719","-287.2729187011719"
"266","533","533","533","-286.3592834472656","-286.3592834472656","-286.3592834472656"
"267","535","535","535","-285.74566650390625","-285.74566650390625","-285.74566650390625"
"268","537","537","537","-286.0000915527344","-286.0000915527344","-286.0000915527344"
"269","539","539","539","-286.70013427734375","-286.70013427734375","-286.70013427734375"
"270","541","541","541","-286.5249938964844","-286.5249938964844","-286.5249938964844"
"271","543","543","543","-286.2838134765625","-286.2838134765625","-286.2838134765625"
"272","545","545","545","-285.5428466796875","-285.5428466796875","-285.5428466796875"
"273","547","547","547","-285.6819152832031","-285.6819152832031","-285.6819152832031"
"274","549","549","549","-286.4236755371094","-286.4236755371094","-286.4236755371094"
"275","551","551","551","-285.94354248046875","-285.94354248046875","-285.94354248046875"
"276","553","553","553","-286.5351867675781","-286.5351867675781","-286.5351867675781"
"277","555","555","555","-286.64666748046875","-286.64666748046875","-286.64666748046875"
"278","557","557","557","-286.7055358886719","-286.7055358886719","-286.7055358886719"
"279","559","559","559","-286.25537109375","-286.25537109375","-286.25537109375"
"280","561","561","561","-286.4832458496094","-286.4832458496094","-286.4832458496094"
"281","563","563","563","-285.7261047363281","-285.7261047363281","-285.7261047363281"
"282","565","565","565","-286.9560852050781","-286.9560852050781","-286.9560852050781"
"283","567","567","567","-286.1440734863281","-286.1440734863281","-286.1440734863281"
"284","569","569","569","-286.7569274902344","-286.7569274902344","-286.7569274902344"
"285","571","571","571","-286.548095703125","-286.548095703125","-286.548095703125"
"286","573","573","573","-285.9347229003906","-285.9347229003906","-285.9347229003906"
"287","575","575","575","-285.7861633300781","-285.7861633300781","-285.7861633300781"
"288","577","577","577","-286.5282897949219","-286.5282897949219","-286.5282897949219"
"289","579","579","579","-285.8958435058594","-285.8958435058594","-285.8958435058594"
"290","581","581","581","-286.53759765625","-286.53759765625","-286.53759765625"
"291","583","583","583","-286.9097900390625","-286.9097900390625","-286.9097900390625"
"292","585","585","585","-286.3843994140625","-286.3843994140625","-286.3843994140625"
"293","587","587","587","-286.99151611328125","-286.99151611328125","-286.99151611328125"
"294","589","589","589","-286.9161071777344","-286.9161071777344","-286.9161071777344"
"295","591","591","591","-286.3133544921875","-286.3133544921875","-286.3133544921875"
"296","593","593","593","-286.7419738769531","-286.7419738769531","-286.7419738769531"
"297","595","595","595","-286.0069274902344","-286.0069274902344","-286.0069274902344"
"298","597","597","597","-286.9488220214844","-286.9488220214844","-286.9488220214844"
"299","599","599","599","-285.0738220214844","-285.0738220214844","-285.0738220214844"
"300","601","601","601","-286.1363220214844","-286.1363220214844","-286.1363220214844"
"301","603","603","603","-285.9310607910156","-285.9310607910156","-285.9310607910156"
"302","605","605","605","-286.9336853027344","-286.9336853027344","-286.9336853027344"
"303","607","607","607","-286.1715087890625","-286.1715087890625","-286.1715087890625"
"304","609","609","609","-286.69500732421875","-286.69500732421875","-286.69500732421875"
"305","611","611","611","-286.4528503417969","-286.4528503417969","-286.4528503417969"
"306","613","613","613","-287.5530090332031","-287.5530090332031","-287.5530090332031"
"307","615","615","615","-286.474609375","-286.474609375","-286.474609375"
"308","617","617","617","-286.35101318359375","-286.35101318359375","-286.35101318359375"
"309","619","619","619","-287.52508544921875","-287.52508544921875","-287.52508544921875"
"310","621","621","621","-286.4582824707031","-286.4582824707031","-286.4582824707031"
"311","623","623","623","-287.4992980957031","-287.4992980957031","-287.4992980957031"
"312","625","625","625","-285.45684814453125","-285.45684814453125","-285.45684814453125"
"313","627","627","627","-287.1291198730469","-287.1291198730469","-287.1291198730469"
"314","629","629","629","-287.2451477050781","-287.2451477050781","-287.2451477050781"
"315","631","631","631","-287.51422119140625","-287.51422119140625","-287.51422119140625"
"316","633","633","633","-286.860595703125","-286.860595703125","-286.860595703125"
"317","635","635","635","-286.7538757324219","-286.7538757324219","-286.7538757324219"
"318","637","637","637","-286.5386047363281","-286.5386047363281","-286.5386047363281"
"319","639","639","639","-286.26678466796875","-286.26678466796875","-286.26678466796875"
"320","641","641","641","-287.2306213378906","-287.2306213378906","-287.2306213378906"
"321","643","643","643","-287.15960693359375","-287.15960693359375","-287.15960693359375"
"322","645","645","645","-286.56256103515625","-286.56256103515625","-286.56256103515625"
"323","647","647","647","-286.88421630859375","-286.88421630859375","-286.88421630859375"
"324","649","649","649","-286.1579284667969","-286.1579284667969","-286.1579284667969"
"325","651","651","651","-286.8941345214844","-286.8941345214844","-286.8941345214844"
"326","653","653","653","-287.11968994140625","-287.11968994140625","-287.11968994140625"
"327","655","655","655","-286.4604187011719","-286.4604187011719","-286.4604187011719"
"328","657","657","657","-287.68975830078125","-287.68975830078125","-287.68975830078125"
"329","659","659","659","-287.37213134765625","-287.37213134765625","-287.37213134765625"
"330","661","661","661","-287.3232421875","-287.3232421875","-287.3232421875"
"331","663","663","663","-287.2548522949219","-287.2548522949219","-287.2548522949219"
"332","665","665","665","-287.1399841308594","-287.1399841308594","-287.1399841308594"
"333","667","667","667","-287.87408447265625","-287.87408447265625","-287.87408447265625"
"334","669","669","669","-287.1599426269531","-287.1599426269531","-287.1599426269531"
"335","671","671","671","-287.6045837402344","-287.6045837402344","-287.6045837402344"
"336","673","673","673","-287.91839599609375","-287.91839599609375","-287.91839599609375"
"337","675","675","675","-288.589111328125","-288.589111328125","-288.589111328125"
"338","677","677","677","-287.8493347167969","-287.8493347167969","-287.8493347167969"
"339","679","679","679","-288.232177734375","-288.232177734375","-288.232177734375"
"340","681","681","681","-288.01007080078125","-288.01007080078125","-288.01007080078125"
"341","683","683","683","-289.8496398925781","-289.8496398925781","-289.8496398925781"
"342","685","685","685","-288.6640319824219","-288.6640319824219","-288.6640319824219"
"343","687","687","687","-288.3613586425781","-288.3613586425781","-288.3613586425781"
"344","689","689","689","-288.489013671875","-288.489013671875","-288.489013671875"
"345","691","691","691","-287.7151794433594","-287.7151794433594","-287.7151794433594"
"346","693","693","693","-288.5785217285156","-288.5785217285156","-288.5785217285156"
"347","695","695","695","-289.6455078125","-289.6455078125","-289.6455078125"
"348","697","697","697","-288.38671875","-288.38671875","-288.38671875"
"349","699","699","699","-289.6857604980469","-289.6857604980469","-289.6857604980469"
"350","701","701","701","-289.508544921875","-289.508544921875","-289.508544921875"
"351","703","703","703","-289.3028259277344","-289.3028259277344","-289.3028259277344"
"352","705","705","705","-289.1145324707031","-289.1145324707031","-289.1145324707031"
"353","707","707","707","-288.5890197753906","-288.5890197753906","-288.5890197753906"
"354","709","709","709","-289.8934326171875","-289.8934326171875","-289.8934326171875"
"355","711","711","711","-289.62969970703125","-289.62969970703125","-289.62969970703125"
"356","713","713","713","-288.14959716796875","-288.14959716796875","-288.14959716796875"
"357","715","715","715","-290.40264892578125","-290.40264892578125","-290.40264892578125"
"358","717","717","717","-289.47918701171875","-289.47918701171875","-289.47918701171875"
"359","719","719","719","-289.7678527832031","-289.7678527832031","-289.7678527832031"
"360","721","721","721","-290.26409912109375","-290.26409912109375","-290.26409912109375"
"361","723","723","723","-289.9219665527344","-289.9219665527344","-289.9219665527344"
"362","725","725","725","-289.6806640625","-289.6806640625","-289.6806640625"
"363","727","727","727","-289.0433349609375","-289.0433349609375","-289.0433349609375"
"364","729","729","729","-290.0090637207031","-290.0090637207031","-290.0090637207031"
"365","731","731","731","-289.6233215332031","-289.6233215332031","-289.6233215332031"
