"epoch","18/04 13:01:40 - training only discriminator - _step","18/04 13:01:40 - training only discriminator - _step__MIN","18/04 13:01:40 - training only discriminator - _step__MAX","18/04 13:01:40 - training only discriminator - D_Loss","18/04 13:01:40 - training only discriminator - D_Loss__MIN","18/04 13:01:40 - training only discriminator - D_Loss__MAX"
"330","661","661","661","-236.0392303466797","-236.0392303466797","-236.0392303466797"
"331","663","663","663","-236.13414001464844","-236.13414001464844","-236.13414001464844"
"332","665","665","665","-236.10958862304688","-236.10958862304688","-236.10958862304688"
"333","667","667","667","-235.85044860839844","-235.85044860839844","-235.85044860839844"
"334","669","669","669","-235.44932556152344","-235.44932556152344","-235.44932556152344"
"335","671","671","671","-235.89224243164062","-235.89224243164062","-235.89224243164062"
"336","673","673","673","-235.93385314941406","-235.93385314941406","-235.93385314941406"
"337","675","675","675","-236.4857635498047","-236.4857635498047","-236.4857635498047"
"338","677","677","677","-234.96173095703125","-234.96173095703125","-234.96173095703125"
"339","679","679","679","-235.7859649658203","-235.7859649658203","-235.7859649658203"
"340","681","681","681","-235.25518798828125","-235.25518798828125","-235.25518798828125"
"341","683","683","683","-235.34291076660156","-235.34291076660156","-235.34291076660156"
"342","685","685","685","-235.29859924316406","-235.29859924316406","-235.29859924316406"
"343","687","687","687","-235.46563720703125","-235.46563720703125","-235.46563720703125"
"344","689","689","689","-235.5128631591797","-235.5128631591797","-235.5128631591797"
"345","691","691","691","-235.617431640625","-235.617431640625","-235.617431640625"
"346","693","693","693","-234.7000274658203","-234.7000274658203","-234.7000274658203"
"347","695","695","695","-235.0084991455078","-235.0084991455078","-235.0084991455078"
"348","697","697","697","-235.20350646972656","-235.20350646972656","-235.20350646972656"
"349","699","699","699","-234.5763702392578","-234.5763702392578","-234.5763702392578"
"350","701","701","701","-235.80514526367188","-235.80514526367188","-235.80514526367188"
"351","703","703","703","-235.9405517578125","-235.9405517578125","-235.9405517578125"
"352","705","705","705","-235.75306701660156","-235.75306701660156","-235.75306701660156"
"353","707","707","707","-235.4784393310547","-235.4784393310547","-235.4784393310547"
"354","709","709","709","-236.4478302001953","-236.4478302001953","-236.4478302001953"
"355","711","711","711","-236.6810760498047","-236.6810760498047","-236.6810760498047"
"356","713","713","713","-235.51904296875","-235.51904296875","-235.51904296875"
"357","715","715","715","-236.17926025390625","-236.17926025390625","-236.17926025390625"
"358","717","717","717","-236.43211364746094","-236.43211364746094","-236.43211364746094"
"359","719","719","719","-236.0679931640625","-236.0679931640625","-236.0679931640625"
"360","721","721","721","-235.9886474609375","-235.9886474609375","-235.9886474609375"
"361","723","723","723","-236.68826293945312","-236.68826293945312","-236.68826293945312"
"362","725","725","725","-236.83517456054688","-236.83517456054688","-236.83517456054688"
